App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6003656,HDR,08/14/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6004896,HDR,08/28/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009192,HDR,10/13/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6009580,HDR,10/17/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6001990,HDR,07/26/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6009442,HDR,10/16/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005511,HDR,09/05/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004550,HDR,08/24/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6007534,HDR,09/27/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6004987,HDR,08/29/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6008798,HDR,10/10/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5991960,HDR,03/14/2022,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6009811,HDR,10/19/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5999982,HDR,07/01/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008568,HDR,10/07/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6009655,HDR,10/18/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5995147,HDR,05/02/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004498,HDR,08/24/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6000205,HDR,07/06/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/20/2022 05:00:03 PM
6008535,HDR,10/06/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6009551,HDR,10/17/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6008429,HDR,10/05/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6007980,HDR,10/01/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006646,HDR,09/17/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6005486,HDR,09/05/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6007639,HDR,09/28/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006465,HDR,09/15/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008966,HDR,10/11/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005975,HDR,09/10/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008990,HDR,10/12/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6007339,HDR,09/25/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004985,HDR,08/29/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6009849,HDR,10/20/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007826,HDR,09/29/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5993354,HDR,04/04/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
6001608,HDR,07/21/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6001685,HDR,07/22/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6005195,HDR,08/31/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008531,HDR,10/06/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6007989,HDR,10/01/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009902,HDR,10/20/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5993222,HDR,04/02/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6005224,HDR,09/01/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009814,HDR,10/19/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003938,HDR,08/17/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006700,HDR,09/18/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004066,HDR,08/18/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008074,HDR,10/03/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5979497,HDR,08/31/2021,Pending Fitness Interview,08/15/2022,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5994136,HDR,04/17/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5998322,HDR,06/11/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003613,HDR,08/13/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
5995529,HDR,05/06/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006188,HDR,09/13/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
5991051,HDR,02/28/2022,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5998591,HDR,06/14/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
5997818,HDR,06/06/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6002803,HDR,08/04/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005671,HDR,09/07/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006343,HDR,09/14/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6002212,HDR,07/28/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6005942,HDR,09/10/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003670,HDR,08/15/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
5995494,HDR,05/06/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6005921,HDR,09/09/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6008330,HDR,10/04/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6006100,HDR,09/12/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007871,HDR,09/30/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6005000,HDR,08/29/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5993348,HDR,04/04/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
6002344,HDR,07/30/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007823,HDR,09/29/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6002960,HDR,08/06/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/20/2022 05:00:03 PM
6000756,HDR,07/12/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006587,HDR,09/16/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6009838,HDR,10/20/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5997861,HDR,06/06/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007701,HDR,09/28/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5999478,HDR,06/26/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008232,HDR,10/04/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6009195,HDR,10/13/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5992326,HDR,03/19/2022,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5992753,HDR,03/25/2022,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007411,HDR,09/26/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5993355,HDR,04/04/2022,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6001045,HDR,07/15/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007868,HDR,09/30/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
5993246,HDR,04/02/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6002819,HDR,08/04/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5992911,HDR,03/28/2022,Denied,Not Applicable,Complete,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5997097,HDR,05/26/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
6000863,HDR,07/13/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5995581,HDR,05/07/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6007617,HDR,09/27/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6001049,HDR,07/15/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005721,HDR,09/07/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008635,HDR,10/07/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003067,HDR,08/08/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009364,HDR,10/14/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003944,HDR,08/17/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6002975,HDR,08/06/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
5999217,HDR,06/22/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6004430,HDR,08/23/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008739,HDR,10/09/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005051,HDR,08/30/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008518,HDR,10/06/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003987,HDR,08/17/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6008998,HDR,10/12/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009700,HDR,10/18/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007261,HDR,09/23/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5998677,HDR,06/15/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/20/2022 05:00:03 PM
6006737,HDR,09/19/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007144,HDR,09/22/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005886,HDR,09/09/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006222,HDR,09/14/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,10/20/2022 05:00:03 PM
6001897,HDR,07/25/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007699,HDR,09/28/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6003214,HDR,08/09/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6004097,HDR,08/18/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6007187,HDR,09/23/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007156,HDR,09/22/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6005190,HDR,08/31/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6005277,HDR,09/01/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/20/2022 05:00:03 PM
6009291,HDR,10/14/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5991329,HDR,03/04/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
6007946,HDR,09/30/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6001345,HDR,07/19/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6003590,HDR,08/13/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5999950,HDR,07/01/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6005524,HDR,09/05/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008732,HDR,10/09/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6001593,HDR,07/21/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007132,HDR,09/22/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008333,HDR,10/04/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009204,HDR,10/13/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Not Applicable,10/20/2022 05:00:03 PM
5995518,HDR,05/06/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6005337,HDR,09/02/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008950,HDR,10/11/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003360,HDR,08/10/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6003796,HDR,08/16/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007810,HDR,09/29/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6007422,HDR,09/26/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003085,HDR,08/08/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
5997059,HDR,05/26/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008449,HDR,10/05/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6008673,HDR,10/08/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5991581,HDR,03/08/2022,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005696,HDR,09/07/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5994443,HDR,04/21/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
5999652,HDR,06/28/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints & other items needed. Visit www.nyc.gov/tlcup,10/20/2022 05:00:03 PM
6004676,HDR,08/25/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5997291,HDR,05/30/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005884,HDR,09/09/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6008676,HDR,10/08/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5999408,HDR,06/24/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6001858,HDR,07/25/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6009217,HDR,10/13/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007648,HDR,09/28/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5998639,HDR,06/15/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008313,HDR,10/04/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5994673,HDR,04/25/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
